Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
PostDoc,German,moment,14,zeit,4,10,0
PostDoc,German,rolle,14,leute,5,5,4
PostDoc,German,ministerium,14,ministerin,12,1,1
PostDoc,German,familie,14,stelle,7,6,1
PostDoc,German,überstunden,14,zeit,12,1,1
Others,German,überstunden,12,zeit,10,2,0
Unknown,German,überstunden,11,zeit,9,2,0
PostDoc,German,kommentar,14,zukunft,7,4,3
PostDoc,German,personen,14,mensch,10,2,2
PostDoc,German,bereich,14,hanna,9,5,0
Unknown,German,bereich,15,hanna,12,2,1
PostDoc,German,gehalt,14,projekt,10,3,1
Others,German,gehalt,13,projekt,8,1,4
Unknown,German,gehalt,12,projekt,6,3,3
PostDoc,German,chef,14,mittelbau,4,3,7
Professor,German,chef,16,mittelbau,11,3,2
Unknown,German,chef,19,mittelbau,11,2,6
PostDoc,German,menschen,14,mensch,8,1,5
Professor,German,menschen,13,mensch,5,2,6
Others,German,menschen,16,mensch,13,0,3
Unknown,German,menschen,28,mensch,19,4,5
PostDoc,German,mittelbau,13,mittelbau,7,6,0
Others,German,mittelbau,14,mittelbau,9,5,0
PostDoc,German,bund,13,bmbf,8,4,1
Professor,German,bund,13,bmbf,5,6,2
Others,German,bund,11,bmbf,6,3,2
PostDoc,German,kolleg,13,forschung,5,5,3
Professor,German,kolleg,13,forschung,8,1,4
PostDoc,German,frage,13,problem,6,4,3
Professor,German,frage,12,problem,8,1,3
Others,German,frage,11,problem,4,5,2
PostDoc,German,probleme,13,problem,11,1,1
PostDoc,German,dienst,13,projekt,9,2,2
Unknown,German,dienst,15,projekt,11,3,1
PostDoc,German,uni,13,uni,10,2,1
Professor,German,uni,11,uni,11,0,0
Unknown,German,uni,15,uni,13,0,2
PostDoc,German,wissenschaftlerinnen,13,wissenschaft,7,4,2
Others,German,wissenschaftlerinnen,13,wissenschaft,9,1,3
PostDoc,German,bild,13,forschung,5,4,4
PostDoc,German,seminar,13,konferenz,5,3,5
PostDoc,German,gesetz,13,politik,9,2,2
Professor,German,gesetz,16,politik,13,2,1
PostDoc,German,grafik,12,forschung,5,1,6
PostDoc,German,preis,12,geld,11,1,0
Others,German,preis,11,geld,8,2,1
PostDoc,German,institut,12,konferenz,5,5,2
PostDoc,German,kind,12,stelle,7,5,0
PostDoc,German,verantwortung,12,grund,7,5,0
Others,German,verantwortung,11,grund,6,4,1
PostDoc,German,bildung,12,hochschule,8,1,3
Others,German,bildung,18,hochschule,10,0,8
Unknown,German,bildung,12,hochschule,10,0,2
PostDoc,German,institution,12,konferenz,10,1,1
PostDoc,German,strukturen,12,mittelbau,11,0,1
PostDoc,German,nachwuchs,12,mittelbau,6,5,1
Professor,German,nachwuchs,11,mittelbau,5,4,2
PostDoc,German,ergebnisse,12,ergebnis,5,7,0
PostDoc,German,sache,12,jahr,5,3,4
PostDoc,German,perspektiven,11,perspektive,5,0,6
PostDoc,German,perspektive,11,perspektive,3,5,3
PostDoc,German,themen,11,stelle,7,1,3
PostDoc,German,rektor,11,professur,4,4,3
PostDoc,German,dauerstellen,11,mittelbau,10,1,0
Professor,German,dauerstellen,11,mittelbau,10,1,0
PostDoc,German,arbeitgeber,11,arbeit,8,1,2
Others,German,arbeitgeber,11,arbeit,10,0,1
PostDoc,German,grundfinanzierung,11,geld,10,0,1
Professor,German,grundfinanzierung,17,geld,14,2,1
Others,German,grundfinanzierung,19,geld,16,1,2
PostDoc,German,weg,11,zukunft,5,4,2
Professor,German,weg,12,zukunft,7,4,1
Others,German,weg,18,zukunft,10,6,2
Unknown,German,weg,11,zukunft,7,2,2
Professor,English,professors,12,professur,8,2,2
Professor,German,argumente,16,thema,14,0,2
Others,German,argumente,12,thema,8,1,3
Professor,German,promovierenden,14,promotion,13,1,0
Professor,German,idee,13,perspektive,6,3,4
Professor,German,community,11,politik,3,6,2
Professor,German,ausbildung,11,hochschule,5,2,4
Others,English,jobs,15,arbeit,7,2,6
Others,German,jobs,18,arbeit,12,2,4
Unknown,German,jobs,25,arbeit,14,5,6
Others,German,türchen,24,stelle,23,0,1
Others,German,verträge,19,vertrag,18,1,0
Unknown,German,verträge,12,vertrag,9,3,0
Others,German,studium,18,academia,10,4,4
Unknown,German,studium,20,academia,11,1,8
Others,German,programm,16,projekt,7,4,5
Others,German,betrieb,14,arbeit,12,1,1
Unknown,German,betrieb,14,arbeit,12,0,2
Others,German,universität,13,academia,10,1,2
Unknown,German,universität,13,academia,12,0,1
Others,German,hannas,11,hanna,5,3,3
Others,German,studierenden,11,academia,6,3,2
Others,German,präsidentin,11,ministerin,5,5,1
Others,German,beschäftigten,11,arbeit,5,5,1
