Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,PhD Student,problem,89,69,18,2,0.6520832124051084,0.2881543360064538,0.0597624504269006,problem
German,PostDoc,problem,367,278,81,8,0.6312650378884834,0.3077057696148063,0.0610291951434935,problem
German,Professor,problem,296,230,58,8,0.6493817046788093,0.2891608028471268,0.0614574923702339,problem
German,Unknown,problem,232,182,43,7,0.6579754715143092,0.2744102741687976,0.0676142559507219,problem
English,PostDoc,scholar,82,37,34,11,0.4635006771309347,0.3551953836094315,0.1813039388961908,wissenschaft
English,Unknown,scholar,55,33,18,4,0.5327876795421947,0.3114735906097022,0.1557387378744103,wissenschaft
English,PostDoc,scientist,69,24,40,5,0.4067251789990974,0.4235628830349963,0.1697119374799987,wissenschaft
English,PostDoc,student,73,20,40,13,0.3583656885240176,0.4022041654392873,0.2394301413035351,academia
English,Professor,student,61,20,23,18,0.3823713192746776,0.3320814813258218,0.2855472003308231,academia
English,PostDoc,system,186,82,91,13,0.4820787783271523,0.3606150444116323,0.1573061762698074,wissenschaft
English,Professor,system,102,50,43,9,0.5168093141606626,0.3323921968283899,0.1507984856508818,wissenschaft
German,Others,system,195,100,74,21,0.4874619036435317,0.3597697692803847,0.1527683257149198,wissenschaft
German,PD,system,71,48,20,3,0.6168640071237591,0.3069008477556873,0.0762351382340134,wissenschaft
German,PhD Student,system,86,50,25,11,0.550901610404253,0.3207174725180795,0.1283809157240009,wissenschaft
German,PostDoc,system,398,225,151,22,0.5371457695745718,0.3533644274522985,0.1094897980965561,wissenschaft
German,Professor,system,329,181,134,14,0.51763029912866,0.3733254227005964,0.1090442787284048,wissenschaft
German,Unknown,system,198,113,70,15,0.5506485279536608,0.3294631334943603,0.1198883404052167,wissenschaft
English,PostDoc,thing,59,22,25,12,0.412310769623619,0.361659988855659,0.2260292454196487,jahr
English,PostDoc,thread,73,12,39,22,0.2455158887864792,0.416363405905766,0.3381207058946155,thema
German,Others,thread,79,14,37,28,0.2506339504277404,0.4215489677801917,0.3278170796464892,thema
German,PostDoc,thread,175,27,90,58,0.2456577495804854,0.3998421546603952,0.3545000955143145,thema
German,Professor,thread,94,24,43,27,0.2854313083151553,0.3994202513564774,0.3151484404175363,thema
English,PostDoc,way,64,23,27,14,0.3805453928362112,0.3467779132188298,0.272676688444335,zukunft
English,PostDoc,work,299,80,162,57,0.3349248884077554,0.3959191140273343,0.2691559958268567,arbeit
English,Professor,work,138,53,54,31,0.3836769393402273,0.3616142934323221,0.2547087636438833,arbeit
English,Unknown,work,127,51,54,22,0.4266921180175749,0.3621717699634747,0.2111361103543029,arbeit
English,Professor,colleague,54,16,16,22,0.3172840732667181,0.3102041707132701,0.3725117596418217,arbeit
English,Professor,professor,59,16,34,9,0.326782005128719,0.446136136239363,0.2270818553959666,professur
German,Others,professor,69,20,43,6,0.3817667576173941,0.4769453955949216,0.1412878473140839,professur
German,PostDoc,professor,164,71,78,15,0.4367146129015742,0.4136843273825035,0.1496010627086478,professur
German,Professor,professor,102,43,50,9,0.4297017401047781,0.4318083695994288,0.1384898911723319,professur
German,Unknown,professor,78,40,33,5,0.4640410751677476,0.4134008969920568,0.122558031995327,professur
English,Unknown,passport,61,44,13,4,0.6205150332362925,0.2737203216577162,0.1057646479915644,mittelbau
German,Others,antwort,70,26,37,7,0.3863387987815908,0.434408830425569,0.1792523805850318,problem
German,PostDoc,antwort,91,29,47,15,0.3465732619944182,0.4289404975025208,0.2244862387325246,problem
German,Professor,antwort,88,32,44,12,0.3964243995406749,0.4131678584963083,0.190407746693712,problem
German,Others,arbeit,274,92,134,48,0.3628514425584326,0.4269801974364549,0.2101683607494907,arbeit
German,PD,arbeit,52,24,21,7,0.458503358066082,0.3805128632543179,0.1609837764050238,arbeit
German,PhD Student,arbeit,86,37,33,16,0.4105363912490565,0.3567267072408698,0.2327369034268655,arbeit
German,PostDoc,arbeit,365,100,195,70,0.3224542865810329,0.4433818810045311,0.2341638340653009,arbeit
German,Professor,arbeit,260,86,143,31,0.3780289418064058,0.4444641832978679,0.1775068765900169,arbeit
German,Unknown,arbeit,200,73,109,18,0.3934152212552726,0.4366726277954876,0.1699121566023677,arbeit
German,Others,arbeitsbedingung,261,80,156,25,0.3978529208164905,0.4514320318255274,0.150715051564991,arbeit
German,PhD Student,arbeitsbedingung,52,15,29,8,0.3587324645800086,0.488816300407052,0.1524512405113245,arbeit
German,PostDoc,arbeitsbedingung,221,88,113,20,0.4153015492863245,0.420133009468673,0.1645654414852078,arbeit
German,Professor,arbeitsbedingung,183,63,98,22,0.4091683312680552,0.4159939879643135,0.1748376861621773,arbeit
German,Unknown,arbeitsbedingung,155,84,60,11,0.5138273046622354,0.3670885436957882,0.1190841461982457,arbeit
German,Others,arbeitsverhältnis,67,22,44,1,0.3762085874801251,0.5355166036135225,0.0882747999545353,arbeit
German,Others,arbeitsvertrag,57,9,45,3,0.2296291422425654,0.6559296629407949,0.1144411977413192,vertrag
German,PostDoc,arbeitsvertrag,73,12,55,6,0.2406488145663313,0.626412401664747,0.1329387884382924,vertrag
German,Unknown,arbeitsvertrag,75,17,56,2,0.2857920389870803,0.6088760662575563,0.1053318913280964,vertrag
German,Others,bedingung,69,30,35,4,0.4529398817946945,0.409147578952969,0.1379125445028362,grund
German,PostDoc,bedingung,100,48,49,3,0.474031498581171,0.4189431348443031,0.1070253694895655,grund
German,Professor,bedingung,76,32,36,8,0.4432812213505569,0.415712987734495,0.1410057977405621,grund
German,Others,befristung,149,48,98,3,0.4072517542381014,0.4938790451660252,0.098869196139276,befristung
German,PD,befristung,55,21,28,6,0.3890138963068073,0.4625808881087737,0.1484052136371081,befristung
German,PostDoc,befristung,145,55,86,4,0.4356737058224349,0.4518232970402158,0.1125030007534499,befristung
German,Professor,befristung,148,49,91,8,0.3835938943147257,0.5014671999961138,0.1149389098926975,befristung
German,Unknown,befristung,107,44,59,4,0.4525359953605683,0.446536254207386,0.100927747455295,befristung
German,Others,beitrag,86,16,44,26,0.232627501602956,0.4686452701341274,0.298727226291978,projekt
German,PostDoc,beitrag,138,22,67,49,0.2492491490666525,0.4252012243251438,0.3255496271615983,projekt
German,Professor,beitrag,88,13,50,25,0.2104104518551718,0.4715165167369626,0.3180730288149789,projekt
German,Unknown,beitrag,59,20,25,14,0.3324827867228601,0.3941090495278269,0.2734081550201369,projekt
German,Others,bereich,69,14,47,8,0.2850485533691834,0.5834620407094127,0.131489406555783,hanna
German,PostDoc,bereich,78,22,49,7,0.3534106252571711,0.5062738384287326,0.1403155306784006,hanna
German,Unknown,bereich,69,24,39,6,0.3733744858291702,0.4768662442979605,0.1497592693329721,hanna
German,Others,berlin,66,14,44,8,0.3060057308863509,0.5088606352607409,0.1851336281379741,hanna
German,Others,beschäftigung,66,12,52,2,0.3057079076428305,0.5609707188312755,0.1333213820489067,arbeit
German,PostDoc,beschäftigung,60,20,40,0,0.3807988592733939,0.5149044979363679,0.1042966399186601,arbeit
German,Others,bildung,81,23,52,6,0.3454081079934114,0.4887368159805551,0.1658550794063895,hochschule
German,PostDoc,bildung,72,18,49,5,0.3462176080793142,0.494946323438651,0.1588360729058169,hochschule
German,Unknown,bildung,62,29,31,2,0.4726405888795852,0.4163264885785118,0.1110329253208493,hochschule
German,Others,bmbf,73,35,33,5,0.4563797799589699,0.3872820366020889,0.1563381790374852,bmbf
German,PostDoc,bmbf,110,69,32,9,0.5105717803266916,0.3460017735307867,0.1434264472008428,bmbf
German,Professor,bmbf,81,46,31,4,0.4984450795584255,0.3846822673063955,0.1168726496628405,bmbf
German,Others,chance,70,21,31,18,0.3418202649269785,0.3920004468943391,0.2661792877529348,jahr
German,PostDoc,chance,103,39,45,19,0.412933923014738,0.3624789105022995,0.2245871697471124,jahr
German,Professor,chance,106,41,53,12,0.4272428682636259,0.377176715834242,0.1955804141624918,jahr
German,Unknown,chance,70,36,18,16,0.4645701477570193,0.3051576890583549,0.2302721671094851,jahr
German,Others,daueraufgabe,140,21,102,17,0.2388373412990144,0.6050509116745421,0.1561117441593004,befristung
