Category,Language,Aspect_Adj,Count
PostDoc,German,thema___automatisch,1
PostDoc,German,thema___ausufernd,1
Professor,German,entfristung___stellenlaufzeit,1
Professor,German,entfristung___stellensuchend,1
Professor,German,entfristung___strategisch,1
Professor,German,entfristung___strukturell,1
Professor,German,entfristung___substantiell,1
Professor,German,entfristung___super,1
Professor,German,entfristung___systematisch,1
Professor,German,entfristung___systemlahmleger,1
Professor,German,entfristung___tapfer,1
PostDoc,German,thema___aussichtslos,1
Professor,German,entfristung___teilzeitalleinerziehend,1
Professor,German,entfristung___theoretisch,1
Professor,German,entfristung___transparent,1
Professor,German,entfristung___zentral,1
Professor,German,entfristung___zufrieden,1
PostDoc,German,thema___attraktiv,1
Professor,German,entfristung___zweifach,1
Professor,German,entscheidung___flexibel,1
Professor,German,entscheidung___forschungsstell,1
Professor,German,entscheidung___freiwillig,1
PostDoc,German,thema___angeschnitten,1
Professor,German,entscheidung___frühzeitig,1
Professor,German,entscheidung___fähig,1
PostDoc,German,thema___angesagt,1
Professor,German,entscheidung___fünft,1
Professor,German,entscheidung___gefühllos,1
Professor,German,entscheidung___gelegt,1
Professor,German,entscheidung___gerecht,1
Professor,German,entscheidung___gesamt,1
Professor,German,entscheidung___gesichert,1
Professor,German,entscheidung___glücklich,1
Professor,German,entscheidung___grotesk,1
Professor,German,entscheidung___gut,1
Professor,German,entscheidung___halb,1
Professor,German,entscheidung___hilfreich,1
Professor,German,entscheidung___hinderlich,1
Professor,German,entscheidung___höchstbefristungsdau,1
Professor,German,entscheidung___idealerweis,1
Professor,German,entscheidung___individuell,1
Professor,German,entscheidung___informiert,1
PostDoc,German,thema___alternativ,1
Professor,German,entscheidung___inner,1
Professor,German,entscheidung___innovativ,1
Professor,German,entscheidung___interessant,1
Professor,German,entscheidung___fest,1
Professor,German,entscheidung___familiär,1
Professor,German,entscheidung___fair,1
Professor,German,entscheidung___bewusst,1
Professor,German,entfristung___äußer,1
Professor,German,entfristung___überbordend,1
Professor,German,entfristung___überwältigend,1
PostDoc,German,thema___anzustrebend,1
Professor,German,entscheidung___alt,1
Professor,German,entscheidung___ausstiegsplän,1
Professor,German,entscheidung___bahnbrechend,1
Professor,German,entscheidung___befristet,1
Professor,German,entscheidung___bereut,1
Professor,German,entscheidung___berliner,1
Professor,German,entscheidung___beruflich,1
Professor,German,entscheidung___bestärkt,1
Professor,German,entscheidung___bitter,1
Professor,German,entscheidung___existentiell,1
PostDoc,German,thema___antragstellend,1
Professor,German,entscheidung___blind,1
Professor,German,entscheidung___dauerhaft,1
Professor,German,entscheidung___dauernd,1
Professor,German,entscheidung___deutlich,1
Professor,German,entscheidung___einzeln,1
Professor,German,entscheidung___einzig,1
Professor,German,entscheidung___endgültig,1
PostDoc,German,thema___anlässlich,1
Professor,German,entscheidung___enftristungen,1
Professor,German,entscheidung___eng,1
Professor,German,entscheidung___entsorgt,1
Professor,German,entfristung___ruinös,1
Professor,German,entfristung___quatschterminologi,1
Professor,German,druck___vorlesungsfrei,1
Professor,German,entfristung___berliner,1
Professor,German,entfristung___bestqualifiziert,1
Professor,German,entfristung___betroffen,1
PostDoc,German,thema___diskutiert,1
Professor,German,entfristung___bevorzugt,1
Professor,German,entfristung___bewusst,1
Professor,German,entfristung___billig,1
PostDoc,German,thema___diskursiv,1
Professor,German,entfristung___deadlin,1
Professor,German,entfristung___demotivieren,1
Professor,German,entfristung___dringend,1
PostDoc,German,thema___diesjährig,1
PostDoc,German,thema___deutschsprachig,1
Professor,German,entfristung___drittmittelstell,1
Professor,German,entfristung___durchlauferhitzer,1
Professor,German,entfristung___durchsichtig,1
PostDoc,German,thema___destruktiv,1
PostDoc,German,thema___dazugehörig,1
Professor,German,entfristung___eigenverantwortlich,1
Professor,German,entfristung___einfach,1
PostDoc,German,thema___daumen,1
Professor,German,entfristung___einzig,1
Professor,German,entfristung___enfristet,1
PostDoc,German,thema___dankbar,1
Professor,German,entfristung___eng,1
PostDoc,German,thema___chronisch,1
Professor,German,entfristung___ernsthaft,1
PostDoc,German,thema___bundestagsabgeordnet,1
Professor,German,entfristung___besetzt,1
PostDoc,German,thema___divers,1
Professor,German,entfristung___pünktlich,1
Professor,German,entfristung___belastbar,1
Professor,German,druck___wahrscheinlich,1
Professor,German,druck___weggelassen,1
Professor,German,druck___weitergemacht,1
Professor,German,druck___wissensch,1
Professor,German,druck___wochenend,1
Professor,German,druck___zementiert,1
PostDoc,German,thema___durschnittlich,1
Professor,German,druck___zitationen,1
Professor,German,druck___öffentlich,1
Professor,German,entfristung___abgesprochen,1
PostDoc,German,thema___dumm,1
Professor,German,entfristung___alleinig,1
Professor,German,entfristung___alt,1
Professor,German,entfristung___analog,1
Professor,German,entfristung___anekdotisch,1
Professor,German,entfristung___angeblich,1
PostDoc,German,thema___dominant,1
Professor,German,entfristung___angesprochen,1
Professor,German,entfristung___aufregend,1
Professor,German,entfristung___auslaufend,1
Professor,German,entfristung___automatisch,1
Professor,German,entfristung___außerordentlich,1
Professor,German,entfristung___außeruniversitär,1
Professor,German,entfristung___bange,1
PostDoc,German,thema___diversitaet,1
Professor,German,entfristung___befristungszeit,1
Professor,German,entfristung___beispiellos,1
Professor,German,entfristung___erstarrt,1
Professor,German,entfristung___erstatten,1
Professor,German,entfristung___erstaunlich,1
Professor,German,entfristung___erweitert,1
Professor,German,entfristung___katastrophal,1
Professor,German,entfristung___leichtfertig,1
Professor,German,entfristung___leistungsabhängig,1
Professor,German,entfristung___leistungschwach,1
Professor,German,entfristung___leistungsfähig,1
PostDoc,German,thema___bestreiten,1
Professor,German,entfristung___lieb,1
Professor,German,entfristung___mitarbeitend,1
Professor,German,entfristung___müde,1
Professor,German,entfristung___nachgrübl,1
PostDoc,German,thema___bestmöglich,1
PostDoc,German,thema___beschämend,1
Professor,German,entfristung___nachteilsausgleich,1
Professor,German,entfristung___neuartig,1
Professor,German,entfristung___nüchtern,1
PostDoc,German,thema___beruflich,1
PostDoc,German,thema___bereut,1
PostDoc,German,thema___belletristik,1
Professor,German,entfristung___offenbar,1
Professor,German,entfristung___politisch,1
Professor,German,entfristung___postdocphase,1
Professor,German,entfristung___potentiell,1
PostDoc,German,thema___beleuchtet,1
PostDoc,German,thema___belastend,1
Professor,German,entfristung___prekär,1
PostDoc,German,thema___begrenzt,1
Professor,German,entfristung___pseudoargument,1
Professor,German,entfristung___juniorprofessur,1
Professor,German,entfristung___iranisch,1
PostDoc,German,thema___bezahlt,1
PostDoc,German,thema___britisch,1
Professor,German,entfristung___extrem,1
Professor,German,entfristung___exzellent,1
Professor,German,entfristung___fahrlässig,1
Professor,German,entfristung___faktisch,1
Professor,German,entfristung___falsch,1
Professor,German,entfristung___forsch,1
Professor,German,entfristung___forschend,1
Professor,German,entfristung___frustrierend,1
Professor,German,entfristung___gedient,1
Professor,German,entfristung___gefährlich,1
Professor,German,entfristung___geistig,1
Professor,German,entfristung___genannt,1
Professor,German,entfristung___gerechtfertigt,1
Professor,German,entfristung___intersektional,1
Professor,German,entfristung___gering,1
Professor,German,entfristung___geschätzt,1
Professor,German,entfristung___gesetzlich,1
Professor,German,entfristung___gewollt,1
Professor,German,entfristung___glücklich,1
PostDoc,German,thema___bremer,1
Professor,German,entfristung___grundlegend,1
Professor,German,entfristung___günstig,1
PostDoc,German,thema___biologielehrkräft,1
Professor,German,entfristung___halb,1
Professor,German,entfristung___individuell,1
Professor,German,entfristung___interessant,1
Professor,German,drittmittel___erhältlich,1
Professor,German,drittmittel___erfolglos,1
Professor,German,drittmittel___entscheidend,1
Professor,German,deutschland___solidarisch,1
PostDoc,German,thema___reich,1
Professor,German,deutschland___sparpolitisch,1
PostDoc,German,thema___regionalgeschicht,1
Professor,German,deutschland___spezialisiert,1
Professor,German,deutschland___spitz,1
PostDoc,German,thema___recht,1
PostDoc,German,thema___quittiert,1
Professor,German,deutschland___stabil,1
Professor,German,deutschland___stark,1
Professor,German,deutschland___statistisch,1
Professor,German,deutschland___stellenperspektiv,1
Professor,German,deutschland___strukturell,1
PostDoc,German,thema___pünktlich,1
Professor,German,deutschland___teuer,1
Professor,German,deutschland___transparent,1
PostDoc,German,thema___punkt,1
Professor,German,deutschland___umgegangen,1
PostDoc,German,thema___psychisch,1
Professor,German,deutschland___unbekannt,1
Professor,German,deutschland___uniangestellt,1
Professor,German,deutschland___universitätspolitisch,1
Professor,German,deutschland___unsanft,1
Professor,German,deutschland___unterdurchschnittlich,1
Professor,German,deutschland___verdaulich,1
Professor,German,deutschland___vergiftet,1
Professor,German,deutschland___verheerend,1
Professor,German,deutschland___verlässlich,1
Professor,German,deutschland___solide,1
Professor,German,deutschland___skandinavisch,1
PostDoc,German,thema___schwer,1
Professor,German,deutschland___sinnlos,1
Professor,German,deutschland___rasch,1
Professor,German,deutschland___rasenmähereltern,1
Professor,German,deutschland___rechtlich,1
Professor,German,deutschland___relat,1
Professor,German,deutschland___retweet,1
Professor,German,deutschland___richtig,1
Professor,German,deutschland___salat,1
PostDoc,German,thema___schweizer,1
Professor,German,deutschland___sattelberger,1
Professor,German,deutschland___schade,1
PostDoc,German,thema___schrecklich,1
PostDoc,German,thema___schlimm,1
Professor,German,deutschland___schleichend,1
Professor,German,deutschland___schlimm,1
Professor,German,deutschland___schnell,1
Professor,German,deutschland___schuld,1
PostDoc,German,thema___russisch,1
PostDoc,German,thema___rubner,1
PostDoc,German,thema___riesig,1
Professor,German,deutschland___schwach,1
PostDoc,German,thema___riddell,1
Professor,German,deutschland___schwachsinnig,1
Professor,German,deutschland___schwierig,1
Professor,German,deutschland___schön,1
Professor,German,deutschland___seelisch,1
Professor,German,deutschland___selbstreflexiv,1
Professor,German,deutschland___seltsamkeit,1
Professor,German,deutschland___verpflichtet,1
Professor,German,deutschland___verrückt,1
Professor,German,deutschland___verschwindend,1
Professor,German,deutschland___verzweifelt,1
Professor,German,diskussion___akut,1
Professor,German,diskussion___alternativ,1
Professor,German,diskussion___alternativmodell,1
Professor,German,diskussion___angesprochen,1
PostDoc,German,thema___positiv,1
Professor,German,diskussion___anlässlich,1
Professor,German,diskussion___anregend,1
Professor,German,diskussion___anreizsystem,1
PostDoc,German,thema___polemisch,1
Professor,German,diskussion___attraktiv,1
Professor,German,diskussion___augenhöh,1
Professor,German,diskussion___ausgangstweet,1
Professor,German,diskussion___außeruniversitär,1
Professor,German,diskussion___bandbreit,1
PostDoc,German,thema___planbar,1
Professor,German,diskussion___bayreuther,1
PostDoc,German,thema___persönlich,1
Professor,German,diskussion___bekannt,1
Professor,German,diskussion___bemerkenswert,1
PostDoc,German,thema___permanent,1
Professor,German,diskussion___berechtigt,1
PostDoc,German,thema___peinlich,1
Professor,German,diskussion___besonnen,1
Professor,German,diskussion___betroffen,1
Professor,German,diskussion___blutend,1
Professor,German,diskussion___bölker,1
Professor,German,diskussion___dauerhaft,1
Professor,German,diskussion___aktiv,1
Professor,German,diskussion___absurd,1
Professor,German,diskussion___absolut,1
Professor,German,deutschland___wisszeitvg,1
Professor,German,deutschland___voll,1
Professor,German,deutschland___vollkommen,1
PostDoc,German,thema___promoviert,1
Professor,German,deutschland___vorgesetzt,1
PostDoc,German,thema___promovierend,1
PostDoc,German,thema___promotionsstell,1
Professor,German,deutschland___wachsend,1
Professor,German,deutschland___weltspitz,1
Professor,German,deutschland___weltweit,1
Professor,German,deutschland___wenig,1
Professor,German,deutschland___wertvoll,1
PostDoc,German,thema___projektbezogen,1
Professor,German,deutschland___wünschenswert,1
Professor,German,diskussion___abrufbar,1
Professor,German,deutschland___zerkratzt,1
Professor,German,deutschland___zerstört,1
PostDoc,German,thema___prima,1
Professor,German,deutschland___zugegeben,1
Professor,German,deutschland___zukünftig,1
Professor,German,deutschland___zwangsteilzeit,1
PostDoc,German,thema___prekariat,1
Professor,German,deutschland___zweit,1
Professor,German,deutschland___äquivalent,1
Professor,German,deutschland___österreichisch,1
PostDoc,German,thema___postdoktoranden,1
Professor,German,deutschland___überzeugend,1
Professor,German,deutschland___qualifiziert,1
PostDoc,German,thema___schwierig,1
Professor,German,diskussion___detailliert,1
Professor,German,deutschland___generationenübergreifend,1
Professor,German,deutschland___gerichtlich,1
PostDoc,German,thema___transparent,1
PostDoc,German,thema___tragbar,1
Professor,German,deutschland___gerissen,1
PostDoc,German,thema___tenur,1
Professor,German,deutschland___gesamt,1
Professor,German,deutschland___gespart,1
Professor,German,deutschland___gestellt,1
Professor,German,deutschland___gewaltig,1
Professor,German,deutschland___global,1
PostDoc,German,thema___teilzeitstell,1
Professor,German,deutschland___großartig,1
Professor,German,deutschland___grundlegend,1
Professor,German,deutschland___grundsätzlich,1
PostDoc,German,thema___teilnehmend,1
Professor,German,deutschland___hart,1
PostDoc,German,thema___talentiert,1
Professor,German,deutschland___haushaltsfinanziert,1
Professor,German,deutschland___herbeigerechnet,1
Professor,German,deutschland___hilfreich,1
Professor,German,deutschland___hoch,1
Professor,German,deutschland___hochproblematisch,1
Professor,German,deutschland___hörenswert,1
Professor,German,deutschland___ideal,1
Professor,German,deutschland___idiotisch,1
PostDoc,German,thema___superide,1
Professor,German,deutschland___innovationsorientiert,1
Professor,German,deutschland___genial,1
Professor,German,deutschland___gekehrt,1
Professor,German,deutschland___präzise,1
PostDoc,German,thema___traurig,1
PostDoc,German,thema___unbequem,1
Professor,German,deutschland___entscheidend,1
PostDoc,German,thema___unbegründet,1
Professor,German,deutschland___erheblich,1
Professor,German,deutschland___erlernt,1
PostDoc,German,thema___unausgegoren,1
Professor,German,deutschland___erreicht,1
Professor,German,deutschland___erschreckend,1
Professor,German,deutschland___erzwungen,1
Professor,German,deutschland___exakt,1
Professor,German,deutschland___experimentell,1
Professor,German,deutschland___extrem,1
PostDoc,German,thema___unangenehm,1
Professor,German,deutschland___fantastisch,1
PostDoc,German,thema___umgekehrt,1
Professor,German,deutschland___fatal,1
PostDoc,German,thema___tödlich,1
Professor,German,deutschland___fiktiv,1
Professor,German,deutschland___forsch,1
Professor,German,deutschland___frei,1
PostDoc,German,thema___twitter,1
Professor,German,deutschland___froh,1
Professor,German,deutschland___früh,1
Professor,German,deutschland___frühzeitig,1
Professor,German,deutschland___fähig,1
Professor,German,deutschland___fündig,1
Professor,German,deutschland___gedrängt,1
Professor,German,deutschland___innovativ,1
Professor,German,deutschland___irrelevant,1
Professor,German,deutschland___jungforsch,1
Professor,German,deutschland___jährlich,1
Professor,German,deutschland___mies,1
Professor,German,deutschland___modern,1
Professor,German,deutschland___mär,1
Professor,German,deutschland___nachgeholt,1
Professor,German,deutschland___narrativ,1
PostDoc,German,thema___sonstig,1
Professor,German,deutschland___negativ,1
Professor,German,deutschland___neoliberal,1
PostDoc,German,thema___solidarisch,1
Professor,German,deutschland___nichtakademisch,1
Professor,German,deutschland___niedrig,1
Professor,German,deutschland___normal,1
Professor,German,deutschland___nötig,1
PostDoc,German,thema___slid,1
PostDoc,German,thema___sinnvoll,1
Professor,German,deutschland___offen,1
Professor,German,deutschland___outreach,1
Professor,German,deutschland___pauschal,1
Professor,German,deutschland___permanent,1
Professor,German,deutschland___perspektivisch,1
Professor,German,deutschland___philosophisch,1
Professor,German,deutschland___polemisch,1
PostDoc,German,thema___sexuell,1
Professor,German,deutschland___produktiv,1
Professor,German,deutschland___professorenstell,1
Professor,German,deutschland___protestierend,1
Professor,German,deutschland___prägnant,1
Professor,German,deutschland___maximal,1
PostDoc,German,thema___speziell,1
Professor,German,deutschland___marode,1
PostDoc,German,thema___stolz,1
Professor,German,deutschland___kaputt,1
Professor,German,deutschland___karriereend,1
Professor,German,deutschland___karrierefilt,1
Professor,German,deutschland___katastrophal,1
PostDoc,German,thema___super,1
Professor,German,deutschland___kettenbefristungen,1
Professor,German,deutschland___klein,1
PostDoc,German,thema___strukturell,1
Professor,German,deutschland___knapp,1
PostDoc,German,thema___stromlinenförmig,1
Professor,German,deutschland___kommend,1
Professor,German,deutschland___komplett,1
Professor,German,deutschland___kostenlos,1
Professor,German,deutschland___mangelnd,1
Professor,German,deutschland___kostenneutral,1
Professor,German,deutschland___krank,1
Professor,German,deutschland___krausch,1
Professor,German,deutschland___kurz,1
Professor,German,deutschland___kurzzeitverträg,1
Professor,German,deutschland___laut,1
Professor,German,deutschland___lectur,1
Professor,German,deutschland___lecturer,1
Professor,German,deutschland___magister,1
PostDoc,German,thema___staatlich,1
PostDoc,German,thema___spirituell,1
Professor,German,deutschland___magisterexam,1
Professor,German,diskussion___desaströs,1
PostDoc,German,thema___organisiert,1
Professor,German,drittmittel___engagiert,1
Professor,German,diskussion___twitter,1
Professor,German,diskussion___unerwähnt,1
Professor,German,diskussion___unerwünscht,1
Professor,German,diskussion___universitär,1
Professor,German,diskussion___unschuldig,1
Professor,German,diskussion___unsympathisch,1
PostDoc,German,thema___interessiert,1
Professor,German,diskussion___unverändert,1
Professor,German,diskussion___unwichtig,1
PostDoc,German,thema___inhaltlich,1
Professor,German,diskussion___vage,1
Professor,German,diskussion___verkürzt,1
Professor,German,diskussion___vermischt,1
Professor,German,diskussion___verschieden,1
Professor,German,diskussion___verschiedentlich,1
Professor,German,diskussion___verständlich,1
PostDoc,German,thema___individuell,1
Professor,German,diskussion___vertreten,1
Professor,German,diskussion___vollkommen,1
Professor,German,diskussion___vorliegend,1
Professor,German,diskussion___vorsitzend,1
PostDoc,German,thema___hörenswert,1
Professor,German,diskussion___websit,1
Professor,German,diskussion___wechselnd,1
PostDoc,German,thema___höhnisch,1
Professor,German,diskussion___wertschätzend,1
Professor,German,diskussion___wertvoll,1
Professor,German,diskussion___wissenschaftlich,1
Professor,German,diskussion___unausgebildet,1
Professor,German,diskussion___tweet,1
Professor,German,diskussion___schematisch,1
PostDoc,German,thema___intersektional,1
Professor,German,diskussion___schief,1
PostDoc,German,thema___konsistent,1
Professor,German,diskussion___schlimm,1
PostDoc,German,thema___kompliziert,1
PostDoc,German,thema___kommend,1
Professor,German,diskussion___selbstständig,1
Professor,German,diskussion___sinnvoll,1
Professor,German,diskussion___solidarisch,1
PostDoc,German,thema___knapp,1
PostDoc,German,thema___klug,1
Professor,German,diskussion___starr,1
PostDoc,German,thema___klein,1
PostDoc,German,thema___klarsichtigst,1
Professor,German,diskussion___stellenlaufzeit,1
Professor,German,diskussion___still,1
PostDoc,German,thema___klamm,1
Professor,German,diskussion___strikt,1
Professor,German,diskussion___strukturell,1
Professor,German,diskussion___ständig,1
Professor,German,diskussion___subjektiv,1
Professor,German,diskussion___systematisch,1
PostDoc,German,thema___kettenverträg,1
Professor,German,diskussion___tatsächlich,1
PostDoc,German,thema___karriereperspektiv,1
Professor,German,diskussion___tränend,1
PostDoc,German,thema___journalistisch,1
PostDoc,German,thema___irritiert,1
Professor,German,diskussion___wissneschaftl,1
Professor,German,diskussion___wisszeitvg,1
Professor,German,diskussion___wunderbar,1
PostDoc,German,thema___hochschulpolitisch,1
Professor,German,drittmittel___attraktiv,1
Professor,German,drittmittel___aufschlussreich,1
Professor,German,drittmittel___ausreichend,1
Professor,German,drittmittel___beachtlich,1
PostDoc,German,thema___global,1
Professor,German,drittmittel___befristungsgrund,1
Professor,German,drittmittel___befristungshyp,1
PostDoc,German,thema___gewerkschaftlich,1
Professor,German,drittmittel___beruflich,1
Professor,German,drittmittel___betreuen,1
Professor,German,drittmittel___bewilligungsquot,1
Professor,German,drittmittel___bewährt,1
Professor,German,drittmittel___bitter,1
PostDoc,German,thema___gestaltungsorientiert,1
Professor,German,drittmittel___departmentstruktur,1
Professor,German,drittmittel___dick,1
Professor,German,drittmittel___drastisch,1
Professor,German,drittmittel___durchökonomisiert,1
PostDoc,German,thema___gespannt,1
Professor,German,drittmittel___düsseldorfer,1
Professor,German,drittmittel___echt,1
Professor,German,drittmittel___ehrenamtlich,1
Professor,German,drittmittel___eierlegend,1
Professor,German,drittmittel___eingeschränkt,1
Professor,German,drittmittel___eingestellt,1
Professor,German,drittmittel___einschlägig,1
Professor,German,drittmittel___enftristungen,1
Professor,German,drittmittel___ankerstell,1
Professor,German,drittmittel___angewiesen,1
PostDoc,German,thema___großartig,1
PostDoc,German,thema___hart,1
Professor,German,diskussion___zahlreich,1
PostDoc,German,thema___hochschul,1
Professor,German,diskussion___zeitaufwendig,1
Professor,German,diskussion___zeitgemäß,1
PostDoc,German,thema___historisch,1
PostDoc,German,thema___hist,1
PostDoc,German,thema___hilfreich,1
Professor,German,diskussion___zeitlich,1
PostDoc,German,thema___herzlich,1
PostDoc,German,thema___heiß,1
PostDoc,German,thema___haushaltsstell,1
Professor,German,diskussion___zukunftsfähig,1
Professor,German,diskussion___öffentlich,1
Professor,German,drittmittel___anekdotisch,1
Professor,German,diskussion___überfällig,1
Professor,German,diskussion___überlegen,1
Professor,German,diskussion___übertrieben,1
Professor,German,diskussion___überwältigend,1
Professor,German,diskussion___überzeugend,1
Professor,German,drittmittel___abstrakt,1
Professor,German,drittmittel___absurd,1
Professor,German,drittmittel___akut,1
PostDoc,German,thema___gut,1
Professor,German,drittmittel___alt,1
Professor,German,drittmittel___alternativ,1
Professor,German,drittmittel___alternativlos,1
PostDoc,German,thema___konstruktiv,1
Professor,German,diskussion___schade,1
Professor,German,diskussion___digital,1
Professor,German,diskussion___gesamt,1
PostDoc,German,thema___offen,1
Professor,German,diskussion___gestrig,1
Professor,German,diskussion___gezielt,1
Professor,German,diskussion___gleichförmig,1
PostDoc,German,thema___objektiv,1
PostDoc,German,thema___notwendig,1
PostDoc,German,thema___narrativ,1
Professor,German,diskussion___grundsätzlich,1
Professor,German,diskussion___gut,1
Professor,German,diskussion___halb,1
Professor,German,diskussion___heftig,1
PostDoc,German,thema___nah,1
Professor,German,diskussion___heidelberger,1
Professor,German,diskussion___ignorieren,1
Professor,German,diskussion___innovativ,1
Professor,German,diskussion___institutionell,1
PostDoc,German,thema___nachwuchsverstopfer,1
Professor,German,diskussion___instruktiv,1
PostDoc,German,thema___nachwuchsforsch,1
Professor,German,diskussion___intensiv,1
PostDoc,German,thema___nachhaltig,1
PostDoc,German,thema___mühsam,1
Professor,German,diskussion___interferenzen,1
Professor,German,diskussion___juniorprofessur,1
Professor,German,diskussion___kernpunkt,1
PostDoc,German,thema___moralisch,1
PostDoc,German,thema___mittelalt,1
Professor,German,diskussion___gespannt,1
Professor,German,diskussion___gend,1
Professor,German,diskussion___repetitiv,1
Professor,German,diskussion___geltend,1
Professor,German,diskussion___diskutierend,1
Professor,German,diskussion___diskutiert,1
Professor,German,diskussion___divers,1
Professor,German,diskussion___durchdacht,1
Professor,German,diskussion___ehrlich,1
Professor,German,diskussion___einzeln,1
PostDoc,German,thema___ordentlich,1
Professor,German,diskussion___empfehlenswert,1
Professor,German,diskussion___eng,1
Professor,German,diskussion___engagiert,1
Professor,German,diskussion___enttäuscht,1
Professor,German,diskussion___erneut,1
Professor,German,diskussion___ernüchternd,1
Professor,German,diskussion___erweitert,1
Professor,German,diskussion___evaluationsergebniss,1
Professor,German,diskussion___evangelisch,1
Professor,German,diskussion___exzellent,1
Professor,German,diskussion___fehlend,1
Professor,German,diskussion___feindlich,1
Professor,German,diskussion___fest,1
PostDoc,German,thema___optimal,1
Professor,German,diskussion___forschend,1
Professor,German,diskussion___förderlich,1
Professor,German,diskussion___gefragt,1
Professor,German,diskussion___gefährlich,1
Professor,German,diskussion___geisteswissenschat,1
Professor,German,diskussion___gelobt,1
Professor,German,diskussion___klein,1
PostDoc,German,thema___missständ,1
PostDoc,German,thema___militärisch,1
Professor,German,diskussion___komisch,1
Professor,German,diskussion___neugierig,1
Professor,German,diskussion___notwendig,1
Professor,German,diskussion___obskur,1
PostDoc,German,thema___liberal,1
PostDoc,German,thema___lesenswert,1
Professor,German,diskussion___offenbar,1
Professor,German,diskussion___paternalistisch,1
Professor,German,diskussion___peinlich,1
PostDoc,German,thema___leicht,1
PostDoc,German,thema___lehrstuhlinhaberinnen,1
Professor,German,diskussion___plausibel,1
PostDoc,German,thema___leer,1
PostDoc,German,thema___laufbahnstell,1
PostDoc,German,thema___langjährig,1
Professor,German,diskussion___privat,1
Professor,German,diskussion___problematisch,1
PostDoc,German,thema___kuenstlich,1
Professor,German,diskussion___problematisiert,1
Professor,German,diskussion___profitierend,1
Professor,German,diskussion___ratlos,1
Professor,German,diskussion___raunend,1
Professor,German,diskussion___reader,1
Professor,German,diskussion___regulär,1
PostDoc,German,thema___kreativ,1
PostDoc,German,thema___krass,1
Professor,German,diskussion___relativ,1
PostDoc,German,thema___krankmachend,1
Professor,German,diskussion___nebenstrang,1
Professor,German,diskussion___narrativ,1
Professor,German,diskussion___nachgeliefert,1
Professor,German,diskussion___lebenszeitstell,1
Professor,German,diskussion___kompetitiv,1
Professor,German,diskussion___kompliziert,1
Professor,German,diskussion___konsequent,1
PostDoc,German,thema___mental,1
PostDoc,German,thema___melken,1
Professor,German,diskussion___kritikwürdig,1
Professor,German,diskussion___kritisch,1
Professor,German,diskussion___kurzfristig,1
PostDoc,German,thema___medial,1
PostDoc,German,thema___maßgeblich,1
PostDoc,German,thema___masterstudent,1
Professor,German,diskussion___laufend,1
Professor,German,diskussion___lecturer,1
PostDoc,German,thema___libertär,1
Professor,German,diskussion___leer,1
Professor,German,diskussion___lehrend,1
Professor,German,diskussion___leid,1
PostDoc,German,thema___massiv,1
Professor,German,diskussion___mehrtägig,1
Professor,German,diskussion___messerscharf,1
Professor,German,diskussion___mindestvertragslaufzeit,1
Professor,German,diskussion___mobilisiert,1
Professor,German,diskussion___moderiert,1
Professor,German,diskussion___monatelang,1
Professor,German,diskussion___müde,1
Professor,German,diskussion___nachfolgend,1
Professor,German,beruf___prima,1
Professor,German,beruf___potentiell,1
Professor,German,beruf___permanent,1
Professor,German,arbeitsbedingung___erschreckend,1
Professor,German,arbeitsbedingung___essenziell,1
Professor,German,arbeitsbedingung___extrem,1
PostDoc,German,uhr___hochrangig,1
PostDoc,German,uhr___hist,1
Professor,German,arbeitsbedingung___falsch,1
PostDoc,German,uhr___gewerkschaftlich,1
Professor,German,arbeitsbedingung___fehlend,1
PostDoc,German,uhr___gesetzlich,1
PostDoc,German,uhr___gepackt,1
PostDoc,German,uhr___gekuschelt,1
Professor,German,arbeitsbedingung___forsch,1
Professor,German,arbeitsbedingung___geeignet,1
PostDoc,German,uhr___froh,1
Professor,German,arbeitsbedingung___gefragt,1
PostDoc,German,uhr___forsch,1
Professor,German,arbeitsbedingung___geraum,1
PostDoc,German,uhr___exzellenzclust,1
Professor,German,arbeitsbedingung___geschmäht,1
Professor,German,arbeitsbedingung___gespannt,1
Professor,German,arbeitsbedingung___gestrig,1
Professor,German,arbeitsbedingung___getwittert,1
Professor,German,arbeitsbedingung___geäußert,1
PostDoc,German,uhr___erfolgreich,1
Professor,German,arbeitsbedingung___großzügig,1
Professor,German,arbeitsbedingung___grundsätzlich,1
Professor,German,arbeitsbedingung___herunter,1
Professor,German,arbeitsbedingung___hoch,1
Professor,German,arbeitsbedingung___essentiell,1
Professor,German,arbeitsbedingung___ernsthaft,1
Professor,German,arbeitsbedingung___hochschulpolitisch,1
PostDoc,German,uhr___hoffnungsvoll,1
Professor,German,arbeitsbedingung___bürgerlich,1
Professor,German,arbeitsbedingung___daueraufgab,1
PostDoc,German,uhr___link,1
PostDoc,German,uhr___lang,1
Professor,German,arbeitsbedingung___dauerstellenperspektiv,1
Professor,German,arbeitsbedingung___delegitimier,1
Professor,German,arbeitsbedingung___desaströs,1
PostDoc,German,uhr___krank,1
Professor,German,arbeitsbedingung___doktorat,1
Professor,German,arbeitsbedingung___doktorväter,1
Professor,German,arbeitsbedingung___dortig,1
PostDoc,German,uhr___konstruktiv,1
Professor,German,arbeitsbedingung___effizient,1
Professor,German,arbeitsbedingung___ehrenamtlich,1
Professor,German,arbeitsbedingung___eierlegend,1
PostDoc,German,uhr___kettenverträg,1
