Category,Language,Aspect_Adj,Count
Professor,German,hochschule___prekär,12
Others,German,personal___wissenschaftlich,12
Others,English,job___german,12
Professor,English,time___academic,12
PhD Student,German,jahr___befristet,12
PostDoc,German,wissenschaft___akademisch,12
PostDoc,German,wissenschaft___alt,12
Professor,German,uni___kurz,12
Unknown,German,jahr___kurz,12
PostDoc,German,system___gut,12
Others,German,arbeit___gut,12
PostDoc,German,leute___früh,12
PhD Student,German,wissenschaft___prekär,12
Professor,English,contract___short,12
Unknown,German,jahr___promoviert,12
Others,German,forschung___unbefristet,12
PostDoc,German,jahr___fest,12
Unknown,German,jahr___halb,12
PostDoc,English,academic___current,12
PostDoc,English,scientist___german,12
Professor,German,bedingung___prekär,12
PostDoc,German,jahr___wichtig,12
Others,German,wissenschaft___unbefristet,12
Others,German,wissenschaft___schlecht,12
PostDoc,German,promotion___unbefristet,12
Unknown,German,jahr___deutsch,12
Professor,English,colleague___academic,12
Professor,German,forschung___wissenschaftlich,12
Unknown,German,stelle___fest,12
Others,German,wissenschaft___groß,12
Unknown,German,hochschule___deutsch,12
Unknown,German,jahr___akademisch,12
Unknown,German,arbeit___wissenschaftlich,12
Others,German,bedingung___prekär,12
Professor,German,jahr___forschend,12
Professor,German,promotion___dauerstell,12
PostDoc,English,academia___good,12
Unknown,German,jahr___wissenschaftlich,12
Professor,German,punkt___wichtig,12
PostDoc,English,life___academic,12
Others,German,mensch___wissenschaftlich,12
PostDoc,German,wissenschaft___strukturell,12
Others,German,forschung___befristet,12
PostDoc,English,precarity___german,12
Professor,German,wissenschaft___unbefristet,12
PostDoc,English,science___german,12
PostDoc,German,forschung___unbefristet,12
PostDoc,German,wissenschaft___richtig,12
Unknown,German,wissenschaftler___deutsch,12
Others,German,hochschule___berliner,12
Professor,German,wissenschaft___früh,12
Others,German,debatte___prekär,12
PostDoc,German,problem___befristet,12
Others,German,forschung___aktuell,12
PostDoc,German,wissenschaftler___wichtig,11
Professor,German,professur___wissenschaftlich,11
Unknown,German,deutschland___prekär,11
PostDoc,German,universität___groß,11
Professor,German,forschung___kurz,11
Others,German,thema___prekär,11
Others,German,system___befristet,11
Others,German,thema___aktuell,11
PostDoc,English,way___academic,11
PostDoc,English,scientist___young,11
Professor,German,stelle___voll,11
Others,German,universität___deutsch,11
PostDoc,English,career___precarious,11
Others,German,forschung___wissenschaftlich,11
Professor,German,universität___deutsch,11
Unknown,German,forschung___unbefristet,11
Unknown,German,wissenschaft___deutsch,11
Others,English,research___academic,11
Professor,German,arbeitsbedingung___schlecht,11
PostDoc,German,thread___gut,11
PostDoc,German,mensch___prekär,11
Professor,German,problem___befristet,11
Others,German,hochschule___aktuell,11
Professor,German,arbeit___wissenschaftlich,11
Professor,German,postdoc___tenur,11
Professor,German,uni___groß,11
PostDoc,English,contract___new,11
Unknown,German,promotion___wissenschaftlich,11
PostDoc,German,universität___befristet,11
PostDoc,English,postdoc___german,11
Professor,German,uni___deutsch,11
Unknown,English,work___academic,11
Unknown,English,scholar___white,11
PostDoc,German,thema___wichtig,11
Unknown,English,passport___german,11
Others,German,wissenschaftssystem___deutsch,11
PostDoc,German,forschung___prekär,11
PostDoc,German,forschung___aktuell,11
PostDoc,German,forschung___deutsch,11
Unknown,German,jahr___arbeitslos,11
PostDoc,English,academia___early,11
Others,German,jahr___groß,11
Professor,German,system___prekär,11
PostDoc,English,system___permanent,11
Others,German,arbeitsbedingung___wissenschaftlich,11
Professor,German,system___unbefristet,11
Others,German,wissenschaftlerin___befristet,11
Unknown,German,wissenschaft___schlecht,11
PostDoc,German,professur___befristet,11
Unknown,German,jahr___groß,11
Others,German,jahr___durchschnittlich,11
PostDoc,German,wissenschaftler___deutsch,11
PostDoc,German,jahr___erfolgreich,11
Others,German,wissenschaft___lang,11
Others,German,bereich___wissenschaftlich,11
Others,English,career___early,11
Professor,German,wissenschaft___lesenswert,11
PostDoc,German,vertrag___nächst,11
Professor,German,jahr___voll,11
PostDoc,German,universität___wissenschaftlich,11
Professor,German,wissenschaftler___dauerstell,11
Professor,German,wissenschaftler___deutsch,11
Professor,German,wissenschaft___berliner,11
Others,English,contract___precarious,11
PostDoc,German,promotion___deutsch,11
PostDoc,English,work___great,11
PostDoc,German,hochschule___deutsch,11
Unknown,German,problem___prekär,11
Professor,German,jahr___wisszeitvg,11
PostDoc,German,system___deutsch,11
PostDoc,German,arbeit___lang,11
PostDoc,German,hochschule___befristet,11
PostDoc,English,work___early,11
PostDoc,German,arbeitsbedingung___schlecht,11
Others,German,jahr___aktuell,10
PostDoc,German,postdoc___unbefristet,10
PostDoc,German,uni___wissenschaftlich,10
Others,German,jahr___akademisch,10
Others,German,arbeitsvertrag___unbefristet,10
Professor,English,term___academic,10
PostDoc,German,arbeit___richtig,10
Others,German,situation___wissenschaftlich,10
PostDoc,German,drittmittel___befristet,10
PostDoc,English,system___structural,10
PostDoc,German,vertrag___entfristet,10
PostDoc,English,condition___academic,10
PostDoc,German,jahr___promoviert,10
Unknown,English,passport___white,10
PostDoc,English,work___permanent,10
Professor,German,zeit___lang,10
Others,German,wissenschaft___akademisch,10
PostDoc,English,germany___good,10
Unknown,German,zeit___lang,10
PostDoc,German,arbeit___unbezahlt,10
PostDoc,German,wissenschaftler___richtig,10
Professor,German,system___deutsch,10
Unknown,German,professur___unbefristet,10
Others,German,situation___prekär,10
