Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
PostDoc,German,uhr,66,jahr,11,42,13
Others,German,uni,422,uni,223,161,38
PhD Student,German,uni,135,uni,73,30,32
PostDoc,German,uni,557,uni,346,169,42
Professor,German,uni,392,uni,243,108,41
Unknown,German,uni,399,uni,267,91,41
Others,German,universität,175,academia,78,82,15
PostDoc,German,universität,309,academia,184,94,31
Professor,German,universität,134,academia,71,40,23
Unknown,German,universität,130,academia,72,48,10
Others,German,unsicherheit,54,grund,48,4,2
Professor,German,unsicherheit,54,grund,46,5,3
Others,German,vertrag,227,vertrag,121,85,21
PD,German,vertrag,52,vertrag,31,17,4
PhD Student,German,vertrag,89,vertrag,44,28,17
PostDoc,German,vertrag,252,vertrag,128,89,35
Professor,German,vertrag,165,vertrag,88,58,19
Unknown,German,vertrag,196,vertrag,105,75,16
Others,German,verwaltung,53,arbeit,35,12,6
PostDoc,German,verwaltung,54,arbeit,36,15,3
Others,German,video,63,forschung,29,20,14
PostDoc,German,video,83,forschung,45,24,14
Professor,German,video,65,forschung,37,16,12
Others,German,vorschlag,58,perspektive,25,18,15
PostDoc,German,vorschlag,109,perspektive,60,30,19
Professor,German,vorschlag,78,perspektive,30,32,16
Others,German,wissenschaft,699,wissenschaft,317,303,79
PD,German,wissenschaft,161,wissenschaft,87,59,15
PhD Student,German,wissenschaft,199,wissenschaft,117,60,22
PostDoc,German,wissenschaft,846,wissenschaft,441,289,116
Professor,German,wissenschaft,663,wissenschaft,392,185,86
Unknown,German,wissenschaft,468,wissenschaft,270,138,60
Others,German,wissenschaftler,326,wissenschaft,178,117,31
PhD Student,German,wissenschaftler,112,wissenschaft,67,32,13
PostDoc,German,wissenschaftler,428,wissenschaft,267,125,36
Professor,German,wissenschaftler,264,wissenschaft,155,84,25
Unknown,German,wissenschaftler,201,wissenschaft,142,44,15
Others,German,wissenschaftlerin,60,wissenschaft,36,20,4
PostDoc,German,wissenschaftlerin,63,wissenschaft,38,17,8
Others,German,wissenschaftssystem,74,wissenschaft,37,30,7
PostDoc,German,wissenschaftssystem,161,wissenschaft,101,42,18
Professor,German,wissenschaftssystem,172,wissenschaft,90,54,28
Unknown,German,wissenschaftssystem,53,wissenschaft,36,13,4
Others,German,woche,92,jahr,36,31,25
PhD Student,German,woche,58,jahr,27,18,13
PostDoc,German,woche,163,jahr,81,52,30
Professor,German,woche,77,jahr,41,18,18
Unknown,German,woche,95,jahr,47,34,14
Others,German,wort,58,wort,29,18,11
PostDoc,German,wort,93,wort,58,14,21
Professor,German,wort,54,wort,35,11,8
Others,German,zeit,235,zeit,110,80,45
PhD Student,German,zeit,98,zeit,57,23,18
PostDoc,German,zeit,364,zeit,211,103,50
Professor,German,zeit,297,zeit,191,74,32
Unknown,German,zeit,190,zeit,120,49,21
Others,German,zukunft,70,zukunft,24,31,15
PostDoc,German,zukunft,72,zukunft,34,25,13
Unknown,German,zukunft,56,zukunft,29,15,12
PostDoc,German,antrag,76,projekt,38,25,13
Professor,German,antrag,91,projekt,49,35,7
PostDoc,German,arbeitgeber,53,arbeit,35,16,2
PostDoc,German,arbeitszeit,53,arbeit,23,28,2
PostDoc,German,argument,92,thema,63,20,9
Professor,German,argument,99,thema,68,18,13
PostDoc,German,artikel,87,promotion,39,27,21
Professor,German,artikel,55,promotion,30,14,11
PostDoc,German,ausland,75,deutschland,50,17,8
Professor,German,ausland,79,deutschland,43,27,9
PostDoc,German,beispiel,53,wort,27,14,12
PostDoc,German,bewerbung,65,problem,33,21,11
Professor,German,bewerbung,72,problem,39,20,13
PostDoc,German,buch,90,bmbf,31,30,29
Professor,German,buch,53,bmbf,13,31,9
PostDoc,German,bund,53,bmbf,26,21,6
PostDoc,German,bundestag,54,mittelbau,22,20,12
PostDoc,German,cdu,51,jahr,38,9,4
PostDoc,German,dis,66,wort,39,16,11
PostDoc,German,drittmittel,94,mittelbau,56,35,3
Professor,German,drittmittel,89,mittelbau,44,34,11
PostDoc,German,erfolg,59,ergebnis,25,11,23
PostDoc,German,ergebnis,79,ergebnis,30,39,10
PostDoc,German,fach,60,bmbf,33,22,5
Professor,German,fach,72,bmbf,44,22,6
PostDoc,German,forscher,58,research,36,17,5
PostDoc,German,gedanke,54,hanna,28,9,17
PostDoc,German,gespräch,63,forschung,27,15,21
Professor,German,gespräch,56,forschung,32,15,9
PostDoc,German,glück,81,hanna,36,9,36
Professor,German,glück,57,hanna,19,9,29
PostDoc,German,interview,60,problem,22,12,26
PostDoc,German,konferenz,52,konferenz,17,29,6
PostDoc,German,kopf,51,bmbf,33,11,7
PostDoc,German,kritik,67,perspektive,49,10,8
PostDoc,German,leistung,69,arbeit,36,25,8
PostDoc,German,lösung,78,grund,47,22,9
Professor,German,lösung,78,grund,55,18,5
PostDoc,German,mittel,57,mittelbau,29,22,6
PostDoc,German,möglichkeit,67,jahr,29,28,10
Professor,German,möglichkeit,64,jahr,30,23,11
PostDoc,German,person,93,mensch,65,17,11
Professor,German,person,53,mensch,33,18,2
Unknown,German,person,51,mensch,32,16,3
PostDoc,German,post,57,promotion,38,15,4
Professor,German,post,52,promotion,22,16,14
Unknown,German,post,54,promotion,24,24,6
PostDoc,German,publikation,56,promotion,28,24,4
PostDoc,German,qualifikation,65,arbeit,40,22,3
Professor,German,qualifikation,57,arbeit,31,23,3
PostDoc,German,realität,61,grund,39,18,4
PostDoc,German,sache,73,jahr,43,15,15
Unknown,German,sache,53,jahr,31,12,10
PostDoc,German,sauerei,67,forschung,67,0,0
PostDoc,German,struktur,66,mittelbau,32,26,8
PostDoc,German,teil,91,projekt,43,36,12
PostDoc,German,track,52,zukunft,22,21,9
Professor,German,track,87,zukunft,41,43,3
PostDoc,German,tweet,88,wort,37,25,26
PostDoc,German,un,71,uni,43,22,6
Professor,German,un,70,uni,47,20,3
PostDoc,German,urlaub,52,forschung,38,5,9
PostDoc,German,verantwortung,59,grund,25,24,10
PostDoc,German,wirtschaft,78,politik,45,25,8
Unknown,German,wirtschaft,72,politik,47,20,5
Professor,German,beruf,59,projekt,33,16,10
Professor,German,entscheidung,59,grund,29,26,4
Professor,German,finanzierung,54,geld,29,24,1
Professor,German,generation,78,mittelbau,57,14,7
Professor,German,habil,62,hanna,43,11,8
Professor,German,liebe,55,hanna,25,16,14
Professor,German,punkt,90,stelle,43,30,17
Professor,German,sicherheit,56,grund,31,16,9
Professor,German,sinn,55,forschung,42,10,3
